nr,hashtag
5101,#trump2016
5109,#gopdebate
5110,#nevertrump
5111,#trump2016
5111,#makeamericagreatagain
5112,#gopdebate
5113,#donald
5115,#lightweightsenatormarcorubio
5116,#makeamericagreatagain
5116,#trump2016
5118,#trump2016
5120,#trumptrain
5120,#trump2016
5121,#trump2016
5122,#trump2016
5123,#trump2016
5124,#trump2016
5127,#mahalo
5127,#trumpwaikiki
5128,#mediafraud
5144,#msprimary
5154,#trumpdog
5155,#trumptrain
5158,#1
5163,#trump2016
5164,#makeamericagreatagain
5167,#supersaturday
5167,#trump2016
5168,#supersaturday
5168,#trump2016
5169,#makeamericagreatagain
5171,#votetrump
5171,#makeamericagreatagain
5172,#trumptrain
5173,#littlemarco
5177,#makeamericagreatagain
5177,#trump2016
5177,#kansascaucus
5178,#caucusfortrump
5179,#votetrump
5179,#makeamericagreatagain
5185,#makeamericagreatagain
5185,#trump2016
5186,#votetrump
5186,#makeamericagreatagain
5188,#makeamericagreatagain
5188,#trump2016
5189,#votetrumpmi
5191,#makeamericagreatagain
5191,#trump2016
5192,#morningjoe
5194,#trump2016
5195,#makeamericagreatagain
5195,#trump2016
5196,#gopdebate
5199,#makeamericagreatagain
5199,#trump2016
5200,#trump2016
5201,#trumptrain
5201,#gopdebate
5203,#maga
5216,#makeamericagreatagain
5216,#trump2016
5222,#neilcavuto
5222,#fox
5222,#kenlangone
5224,#ontherecord
5230,#supertuesday
5234,#supertuesday
5234,#trump2016
5235,#supertuesday
5235,#trump2016
5236,#supertuesday
5236,#trump2016
5237,#supertuesday
5237,#trump2016
5238,#supertuesday
5238,#trump2016
5239,#supertuesday
5239,#trump2016
5240,#supertuesday
5240,#trump2016
5241,#votetrump
5241,#makeamericagreatagain
5242,#supertuesday
5242,#trump2016
5242,#votetrump
5242,#makeamericagreatagain
5244,#supertuesday
5244,#makeamericagreatagain
5248,#fail
5248,#politician
5250,#supertuesday
5250,#votetrump
5251,#supertuesday
5251,#votetrump
5252,#nascar
5252,#votetrump
5252,#trump2016
5255,#votetrump
5257,#trump2016
5258,#makeamericagreatagain
5258,#trump2016
5259,#makeamericagreatagain
5259,#trump2016
5261,#makeamericagreatagain
5261,#trump2016
5264,#trump2016
5268,#robotrubio
5282,#makeamericagreatagain
5285,#alwaystrump
5285,#trumptrain
5285,#trump2016
5288,#stopcommoncore
5288,#makeamericagreatagain
5299,#votetrump
